,Grand Total,,,Container,,,Dry Bulk,,,General Cargo,,,LNG/LPG,,,Passenger,,,Ro-Ro,,,Tanker,,
Registry,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT
Albania,14,29365,43301,,,,,,,13,27867,41066,,,,,,,1,1498,2235,,,
Algeria,26,657318,639641,,,,1,37327,64698,6,51512,63065,10,491168,478562,3,61707,12165,,,,6,15604,21151
Angola,8,10401,14659,,,,,,,1,1199,2260,,,,2,2000,609,1,1302,2063,4,5900,9727
Antigua & Barbuda,992,8628343,11121727,279,3976776,4945041,35,787433,1323127,645,3551719,4578072,15,102417,122468,,,,11,165586,87690,7,44412,65329
Argentina,32,292470,484807,2,25567,33299,,,,5,19257,36438,,,,3,6440,877,,,,22,241206,414193
Australia,48,746865,576356,,,,5,37900,47601,16,112100,151832,4,420040,267148,11,74314,16810,4,62579,36782,8,39932,56183
Azerbaijan,69,366456,394111,,,,1,2615,3280,18,57775,69289,,,,9,79421,29122,7,57162,39370,34,169483,253050
Bahamas,1141,52483094,67553798,51,1298896,1451407,268,9293892,16353965,204,3112973,4410299,99,7977320,6628583,133,7083696,726684,77,3817695,1330901,309,19898622,36651959
Bahrain,12,211079,256916,3,158329,179952,,,,9,52750,76964,,,,,,,,,,,,
Bangladesh,81,858606,1477737,4,7493,8530,26,653182,1146050,34,109428,165264,,,,,,,,,,17,88503,157893
Barbados,92,756832,1181706,,,,19,384329,658554,68,245673,326197,,,,,,,2,18765,8695,3,108065,188260
Belgium,93,4873764,7863874,,,,18,1292272,2471967,9,19092,27336,22,1248812,1129385,2,5033,350,9,168471,72762,33,2140084,4162074
Belize,250,1575549,2371258,3,11729,15391,68,863321,1446878,158,594403,806475,1,1605,1294,4,46773,16513,,,,16,57718,84707
Bermuda (British),129,9906311,8919353,5,179480,184079,11,979621,1932208,,,,49,4910853,3941370,27,2393663,227020,,,,37,1442694,2634676
Bolivia,22,57501,78614,,,,6,19081,35180,11,28957,37187,,,,2,3390,1145,3,6073,5102,,,
Brazil,87,2190895,3518365,17,546561,692155,11,324725,569865,9,51660,69931,10,68983,71088,1,1029,282,1,5119,5287,38,1192818,2109757
Brunei,8,615780,497862,,,,,,,,,,7,610835,491593,,,,,,,1,4945,6269
Bulgaria,12,112604,98805,,,,,,,5,36754,53746,2,4406,3800,1,25028,8058,3,44720,30673,1,1696,2528
Cambodia,362,1121055,1473032,4,12340,17659,25,146727,232557,315,890855,1149052,,,,1,6850,1118,7,35785,25857,10,28498,46789
Canada,158,2178330,2700130,2,16385,16657,54,1090177,1653960,9,52058,75335,,,,62,462040,94092,7,80013,53733,24,477657,806353
Cape Verde,9,20319,14482,,,,,,,2,3790,5887,,,,4,9727,2085,1,3910,2560,2,2892,3950
Cayman Islands (British),118,3330592,4391122,,,,26,826347,1390242,3,23002,36748,,,,1,5937,1000,16,903466,284990,72,1571840,2678142
Chile,48,607930,944405,3,29777,38206,9,213654,360249,13,32789,41317,,,,10,41502,9606,,,,13,290208,495027
China,2143,41339938,64962740,185,5563844,6727202,843,23656520,40774910,452,2957496,4106250,69,241114,218141,95,1084700,307954,28,401423,149189,471,7434841,12679094
Colombia,12,36411,53726,,,,,,,7,21357,29310,,,,,,,,,,5,15054,24416
Congo (Democratic Republic),11,23629,30146,,,,,,,9,21185,28108,,,,,,,1,1440,398,1,1004,1640
Cook Islands,125,1231282,2005068,5,24847,32834,21,558928,963068,87,605565,956567,,,,2,9227,1529,,,,10,32715,51070
Costa Rica,2,2395,1322,,,,,,,,,,,,,2,2395,1322,,,,,,
Croatia,65,1218424,2022536,,,,17,516448,919748,2,5179,7081,,,,30,101612,23805,,,,16,595185,1071902
Cuba,3,3965,5378,,,,,,,3,3965,5378,,,,,,,,,,,,
Curacao,49,941273,1177099,,,,,,,48,933959,1167715,1,7314,9384,,,,,,,,,
Cyprus,799,20504818,32520442,184,3975135,4748642,308,11729145,21269121,154,961350,1329492,6,379667,237324,40,576320,131817,10,151089,58205,97,2732112,4745841
Denmark,18,80332,13740,,,,,,,,,,,,,18,80332,13740,,,,,,
Denmark (DIS),348,14825776,16905673,116,10574258,11436515,7,198272,357648,25,48901,60003,11,383971,353662,22,400883,63777,15,425680,186265,152,2793811,4447803
Djibouti,1,3125,5300,,,,,,,,,,,,,,,,,,,1,3125,5300
Dominica,19,426572,775065,,,,,,,6,19940,21800,,,,,,,,,,13,406632,753265
Ecuador,43,253070,388676,,,,,,,3,6749,6797,,,,10,22522,5539,,,,30,223799,376340
Egypt,49,842647,1310297,5,76881,96620,12,468702,836457,13,83524,113238,,,,4,20324,3896,7,61734,30988,8,131482,229098
Equatorial Guinea,6,18606,26940,1,7361,9203,,,,1,1412,1740,,,,,,,,,,4,9833,15997
Eritrea,4,11126,12757,,,,,,,2,5179,7010,,,,,,,1,3922,2570,1,2025,3177
Estonia,19,367973,65118,,,,,,,,,,,,,16,361613,55509,,,,3,6360,9609
Ethiopia,15,289643,397555,,,,,,,13,235989,313215,,,,,,,,,,2,53654,84340
Faeroe Islands (Danish),15,167008,165043,,,,,,,3,8840,10785,,,,3,49896,9065,2,18264,8800,7,90008,136393
Faeroes (FAS),36,120796,162794,2,17660,22286,1,2429,3961,30,89776,125004,,,,,,,2,9246,8830,1,1685,2713
Fiji,13,31080,9398,,,,,,,1,1261,1543,,,,11,28338,6802,1,1481,1053,,,
Finland,91,1546052,1005186,3,28761,36949,3,82757,133195,24,106560,140571,,,,20,554922,89291,35,592754,313322,6,180298,291858
France,67,1066265,395945,1,175688,186528,2,5800,7520,9,15848,13506,,,,47,833089,161854,3,25052,8857,5,10788,17680
France (FIS),64,4338130,6173985,23,1973537,2177659,,,,,,,6,337338,301213,,,,7,108974,48471,28,1918281,3646642
Gabon,1,1015,1373,,,,,,,1,1015,1373,,,,,,,,,,,,
Gambia,1,1511,1766,,,,,,,1,1511,1766,,,,,,,,,,,,
Georgia,3,30259,50012,,,,1,20306,34318,,,,,,,,,,,,,2,9953,15694
Germany,229,9990267,11044849,130,9104501,9949576,1,155051,322398,38,124515,156080,1,4201,4197,25,225934,47499,1,1868,2673,33,374197,562426
Ghana,6,18035,23621,,,,,,,3,10962,15256,,,,,,,,,,3,7073,8365
Gibraltar (British),249,2779558,3259011,31,655796,831586,8,312184,552905,106,393405,526945,4,86240,101538,,,,14,650223,234977,86,681710,1011060
Greece,748,40522812,72000613,10,847488,906957,234,12655197,23799082,22,37104,48726,27,1819693,1620465,84,846628,197045,8,171558,66110,363,24145144,45362228
Guyana,11,20515,27948,,,,,,,9,15500,20488,,,,,,,,,,2,5015,7460
Honduras,28,77325,96826,,,,2,6642,11704,10,29063,37569,,,,2,3896,2785,2,4270,2842,12,33454,41926
Hong Kong,2238,101389102,163588980,472,26420745,29572210,1084,50036657,91541021,261,3959111,5544145,37,1509492,1476626,5,32337,7160,7,209977,81651,372,19220783,35366167
Iceland,2,5031,580,,,,,,,,,,,,,2,5031,580,,,,,,
India,413,8560157,14707865,15,305167,392049,87,2661855,4784868,173,331336,497459,17,399356,504237,23,164020,48217,1,19683,13925,97,4678740,8467110
Indonesia,1870,11117841,15206755,173,1299760,1696554,124,1636501,2788033,828,2317671,3142519,51,854740,881248,193,844695,234442,31,210828,118477,470,3953646,6345482
Iran,169,2972968,4495855,28,1007884,1215800,34,1170357,2036068,94,425568,566784,,,,3,6599,2136,2,3701,1468,8,358859,673599
Iraq,5,35853,54201,,,,,,,,,,,,,,,,,,,5,35853,54201
Irish Republic,32,194770,300291,,,,2,45736,69824,30,149034,230467,,,,,,,,,,,,
Isle of Man (British),311,13578155,21948545,11,1309758,1312860,82,5249570,9840949,41,420321,619639,59,1786937,1835960,2,18490,4968,13,158314,57813,103,4634765,8276356
Israel,8,256897,316251,5,242616,296558,,,,3,14281,19693,,,,,,,,,,,,
Italy,546,15332914,15734349,10,549332,622861,71,3124554,5724207,32,263934,359669,25,315222,351465,160,4204110,675529,69,3044079,1511993,179,3831683,6488625
Jamaica,18,136792,131289,2,15710,19317,2,26946,44709,11,51236,60012,,,,3,42900,7251,,,,,,
Japan,773,20473514,28996541,6,415132,406840,228,9853820,18306430,34,150436,197163,56,2509368,1664577,128,973286,355833,117,2770866,1069420,204,3800606,6996278
Jordan,12,97752,99113,,,,,,,7,66138,86032,,,,4,21449,5474,1,10165,7607,,,
Kazakhstan,11,71521,116209,,,,,,,2,8364,10938,1,3485,3983,,,,,,,8,59672,101288
Kenya,1,1755,2639,,,,,,,,,,,,,,,,,,,1,1755,2639
Kiribati,63,319712,441593,,,,5,50177,83622,41,170730,205845,1,1514,1309,,,,,,,16,97291,150817
Kuwait,35,2902024,5171603,1,75579,85437,,,,4,68303,45213,4,185944,215230,,,,,,,26,2572198,4825723
Latvia,18,97312,87925,,,,,,,15,58175,78604,,,,1,35154,3680,,,,2,3983,5641
Lebanon,25,183240,158793,,,,6,40959,64627,18,123481,85611,,,,,,,1,18800,8555,,,
Liberia,2969,126690266,198749031,912,38906454,45526085,897,40854322,74817171,217,2465562,3250314,126,3588802,3421634,2,25972,2465,42,1820632,588807,773,39028522,71142555
Libya,20,779797,1443949,,,,,,,2,8566,10986,2,6422,7602,,,,,,,16,764809,1425361
Lithuania,29,322541,245499,2,16194,21029,,,,17,108718,147425,,,,7,172548,56488,2,23060,17404,1,2021,3153
Luxembourg,52,1955378,2293445,24,1302045,1439901,6,356079,661162,,,,,,,,,,10,246158,115331,12,51096,77051
Madagascar,1,1042,1214,,,,,,,1,1042,1214,,,,,,,,,,,,
Malaysia,248,5228374,6753730,20,165421,214821,7,168733,311226,76,269992,365342,29,2147901,1811271,5,8296,3065,6,226076,75869,105,2241955,3972136
Maldives,14,37378,49457,1,4028,5111,2,10586,14323,10,19644,25024,,,,,,,,,,1,3120,4999
Malta,1927,63074278,95638923,260,13185014,14935791,646,24628653,44558274,273,1889534,2621190,71,2286042,2067893,67,2657306,301761,41,1348099,554762,569,17079630,30599252
Marshall Islands,2661,116714309,189448831,283,11907502,13679649,1100,47130907,85926693,94,1758018,2335652,134,10192258,8844952,7,240500,31082,43,2348740,780119,1000,43136384,77850684
Mauritania,1,1209,2400,,,,,,,,,,,,,,,,,,,1,1209,2400
Mauritius,4,55577,87974,,,,,,,2,7793,9477,,,,1,5492,3500,,,,1,42292,74997
Mexico,47,805037,1191168,,,,6,117436,202210,3,18994,16023,1,2259,3092,8,55679,17996,3,26188,12551,26,584481,939296
Micronesia,3,3560,2060,,,,,,,1,1088,681,,,,2,2472,1379,,,,,,
Moldova,147,555062,782464,1,10733,14120,6,74110,120337,117,311044,423616,,,,,,,10,44360,29046,13,114815,195345
Mongolia,125,2040640,3684294,4,23434,32369,18,117616,178922,40,111659,148502,3,10093,10920,2,18955,7951,6,21714,12353,52,1737169,3293277
Montenegro,4,93488,140000,,,,4,93488,140000,,,,,,,,,,,,,,,
Morocco,17,161037,123280,6,72004,92316,,,,,,,,,,7,70321,11984,2,8960,4967,2,9752,14013
Mozambique,4,10332,15251,,,,,,,4,10332,15251,,,,,,,,,,,,
Myanmar,34,159616,198249,,,,1,11176,18315,29,142636,175665,,,,3,4785,2843,,,,1,1019,1426
Namibia,1,2858,2660,,,,,,,1,2858,2660,,,,,,,,,,,,
Netherlands,841,6505410,7146919,44,778334,922551,12,317170,508538,580,3292251,4496249,26,145838,151382,30,1183938,172456,15,292670,187318,134,495209,708425
New Zealand,12,140608,144442,2,17374,22168,3,12456,17039,1,1258,0,,,,3,53578,17542,,,,3,55942,87693
Nigeria,105,645641,986164,,,,2,7854,10836,2,2428,4287,1,3102,3384,1,1068,584,,,,99,631189,967073
Niue,12,41354,46497,,,,4,12127,13500,6,25351,26836,,,,,,,,,,2,3876,6161
North Korea,116,399833,565669,3,5449,7910,5,50344,85289,99,320800,450343,,,,1,9672,2014,,,,8,13568,20113
Norway,192,794923,234480,,,,,,,48,81296,93187,1,1687,817,136,694058,120273,2,5066,4138,5,12816,16065
Norway (NIS),362,13037031,17206155,1,3999,5202,73,2655334,4670614,52,1235348,1715343,43,2242585,2224104,3,61680,6552,42,2439124,935174,148,4398961,7649166
Oman,6,18495,5842,,,,,,,,,,,,,6,18495,5842,,,,,,
Pakistan,9,371101,681806,,,,5,140804,255177,,,,,,,,,,,,,4,230297,426629
Palau,96,665675,899244,7,60848,81802,11,132058,218358,45,169896,227809,,,,7,68328,25870,6,37690,21765,20,196855,323640
Panama,6156,212367784,324589815,626,34362582,38288715,2596,109335751,199822215,1177,8796479,12191206,227,7431976,7018612,68,3504750,451245,333,14740924,5022898,1129,34195322,61794924
Papua New Guinea,34,93487,114603,3,16067,18976,5,16285,21474,25,59983,73741,,,,1,1152,412,,,,,,
Paraguay,22,56008,59945,3,7415,7769,,,,14,37481,39093,,,,1,1174,183,2,6066,6545,2,3872,6355
Peru,24,367675,559245,2,28788,37747,,,,,,,4,55687,69234,,,,,,,18,283200,452264
Philippines,526,3884558,5851179,17,147967,192569,95,2207266,3898080,253,833740,1045268,7,15063,14204,60,199443,62742,19,138018,94128,75,343061,544188
Poland,8,14895,20573,,,,,,,8,14895,20573,,,,,,,,,,,,
Portugal,12,52772,63585,3,18057,22265,,,,7,31513,38730,,,,1,1587,90,,,,1,1615,2500
Portugal (MAR),239,7544754,9704994,126,5171398,5952179,39,1476459,2597080,24,196146,271913,4,12276,13802,5,50084,9389,12,174746,66881,29,463645,793750
Qatar,20,510212,792429,8,133819,160025,3,93961,167577,2,25054,37374,2,34833,34744,,,,,,,5,222545,392709
Russia,1234,5621057,7267516,8,40957,51088,48,314829,446541,716,2682751,3219704,,,,27,156840,42463,14,102132,80256,421,2323548,3427464
Samoa,4,8475,10107,,,,,,,3,7430,9890,,,,1,1045,217,,,,,,
Sao Tome & Principe,5,5964,7108,,,,,,,5,5964,7108,,,,,,,,,,,,
Saudi Arabia,111,2974758,4173553,10,508965,534533,5,219470,409284,4,8099,11005,2,47998,55420,12,88517,14743,12,347418,181658,66,1754291,2966910
Senegal,4,10355,3897,,,,,,,1,1516,1570,,,,3,8839,2327,,,,,,
Seychelles,8,125937,206149,,,,,,,2,4333,5366,,,,,,,,,,6,121604,200783
Sierra Leone,282,1186103,1621969,6,58261,69212,47,324081,482645,170,544300,702418,,,,4,25353,11425,2,18879,7617,53,215229,348652
Singapore,2133,79014559,119961433,503,22284848,25104975,588,27887953,51273472,131,2069426,2740136,116,2465736,2419281,,,,71,3365780,1197004,724,20940816,37226565
South Africa,9,218750,418016,,,,2,180315,358478,,,,,,,,,,,,,7,38435,59538
South Korea,792,10889460,16422544,83,1068965,1318941,147,5816083,10760646,257,1200244,1641898,50,687836,601334,30,240018,62721,30,853053,366060,195,1023261,1670944
Spain,5,45500,25665,,,,,,,2,8245,12016,,,,1,29670,5300,1,1923,1283,1,5662,7066
Spain (CSR),109,2040734,1705593,,,,4,21331,29807,19,75162,102823,12,1074723,922498,37,412349,88439,12,179967,71259,25,277202,490767
Sri Lanka,24,170137,250692,1,15636,16908,5,66755,110303,10,67611,93599,2,11713,14684,,,,,,,6,8422,15198
St Kitts & Nevis,121,800410,1070825,9,64809,82132,5,134649,231020,70,257473,310515,2,3790,3264,5,46240,12100,2,49459,16690,28,243990,415104
St Vincent & The Grenadines,207,1728069,2416841,12,156929,202482,23,385862,651967,150,1098585,1461195,2,18734,19089,3,5129,811,8,33592,38149,9,29238,43148
Sudan,2,18916,16038,,,,,,,1,9874,12905,,,,1,9042,3133,,,,,,
Sweden,92,2456031,1210375,4,231306,206592,6,22784,28015,4,7368,9424,,,,31,851976,150813,27,1147143,529153,20,195454,286378
Switzerland,52,939653,1536944,,,,27,730849,1258052,12,126813,158807,,,,,,,,,,13,81991,120085
Syria,4,37360,53018,,,,1,11767,18908,3,25593,34110,,,,,,,,,,,,
Taiwan,121,3503875,5153810,37,1608926,1815674,33,1539959,2867776,27,95890,132189,1,15175,17659,7,41761,6891,2,11368,7736,14,190796,305885
Tanzania,17,90604,122371,,,,2,16443,26624,7,19256,27721,,,,2,6895,1867,2,13318,9764,4,34692,56395
Tanzania (SUMATRA),2,11186,18353,,,,,,,1,9960,16270,,,,,,,,,,1,1226,2083
Tanzania (Zanzibar),89,362394,527181,,,,1,8897,11702,66,195548,276189,,,,3,8730,5025,9,38397,30278,10,110822,203987
Thailand,345,2962281,4781378,20,203775,267108,36,792219,1290717,94,353939,500799,38,174278,187074,11,15076,4364,1,6631,2935,145,1416363,2528381
Togo,188,1081362,1581343,3,14500,19028,16,233486,385833,113,350759,483017,1,4884,4400,3,30735,4290,8,51127,28896,44,395871,655879
Tonga,4,7012,5270,,,,,,,2,2653,3493,,,,2,4359,1777,,,,,,
Trinidad & Tobago,2,12175,1200,,,,,,,,,,,,,2,12175,1200,,,,,,
Tunisia,8,169849,56616,,,,,,,2,3943,6763,,,,4,120106,21453,2,45800,28400,,,
Turkey,544,5624207,8212098,51,786152,985499,83,2327015,4022814,232,800141,1220848,7,37195,39466,60,176092,63037,27,581212,262151,84,916400,1618283
Turkmenistan,16,71941,76014,,,,,,,5,14101,14047,,,,2,19582,6620,,,,9,38258,55347
Tuvalu,35,497761,835109,1,3999,5273,7,154158,270639,8,28920,42115,,,,1,1043,590,,,,18,309641,516492
Ukraine,82,262111,279526,,,,,,,65,181178,220054,,,,9,63276,29468,,,,8,17657,30004
Union of Comoros,92,501383,746070,1,3818,4652,7,69367,124461,59,175205,234828,,,,3,9063,779,3,41695,18040,19,202235,363310
United Arab Emirates,48,484144,641756,5,221658,249012,,,,19,38355,48786,,,,1,3463,3850,1,12530,7200,22,208138,332908
United Kingdom,346,13299591,13419077,102,7547921,7989588,19,946078,1751553,55,254237,369389,3,265710,246776,64,1603498,252227,31,1256493,478246,72,1425654,2331298
United States of America,571,8116191,13894945,9,96305,105296,42,262360,407353,295,756986,976855,,,,83,436546,94661,13,69751,42926,129,6494243,12267854
Unknown Registry,523,7796539,13763814,9,96305,105296,37,192453,292148,295,756986,976855,4,29060,40626,39,167571,51434,12,66130,40426,127,6488034,12257029
Uruguay,18,84652,78663,,,,2,27948,44341,4,9460,11274,,,,6,33292,1895,1,2521,3390,5,11431,17763
Vanuatu,74,978872,1536063,1,25497,28876,25,766659,1284116,44,171295,201928,,,,,,,,,,4,15421,21143
Venezuela,65,987060,1592607,,,,5,69907,115205,15,134561,225861,1,2227,3630,19,79551,20408,,,,25,700814,1227503
Vietnam,763,3826848,6275439,34,261752,346160,140,1273225,2135429,482,1255252,2112392,11,35660,35964,,,,,,,96,1000959,1645494
Yemen,3,9830,13325,,,,,,,,,,,,,,,,1,3621,2500,2,6209,10825
Grand Total,41908,1137728493,1707791162,5059,212576983,241554814,10677,416035993,755285033,10909,60461653,82144005,1528,59713578,53224662,2141,35678417,5898071,1417,46695766,17965232,10177,306566103,551719345
